ano,raca_cor,empregos_formais_ativos_31_12,total_ano,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2016,indigena,194,92550,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2016,parda,26461,92550,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2016,preta,4903,92550,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,amarela,921,91821,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,branca,52348,91821,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,indigena,160,91821,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,parda,25961,91821,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,preta,4981,91821,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,amarela,793,85200,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,branca,48173,85200,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,indigena,121,85200,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,parda,24284,85200,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,preta,4838,85200,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,amarela,747,86719,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,branca,45369,86719,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,indigena,124,86719,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,parda,26191,86719,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,preta,5187,86719,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2020,amarela,718,79311,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2020,branca,41841,79311,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2020,indigena,108,79311,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2020,parda,23538,79311,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2020,preta,4688,79311,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2021,amarela,715,77632,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2021,branca,40948,77632,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2021,indigena,118,77632,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2021,parda,22358,77632,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2021,preta,4712,77632,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
