"""Valores Recolhidos - Art. 39 MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"""2017""";"""2016""";"""2015""";"""2014""";"""2013""";"""2012""";"""2011""";"""2010""";"""2009""";"""2008""";"""2007""";"""2006""";"""2005""";"""2004""";"""2003"""
"""Janeiro""";"""7279720,09""";"""6755068,49""";"""5970623,54""";"""4438888,88""";"""3849175""";"""1818168,2""";"""844629,45""";"""1249612,25""";"""1108376,87""";"""1476626,75""";"""1265676,32""";"""802769,21""";"""776807""";"""3215173""";"""0"""
"""Fevereiro""";"""4601234,42""";"""6792037,78""";"""4904271,14""";"""3861625,17""";"""3545556,24""";"""4090010,38""";"""3365409,07""";"""1773860,55""";"""1893676,5""";"""936462,73""";"""1017049,98""";"""1189255,45""";"""1597766,16""";"""617716,92""";"""0"""
"""Março""";"""7108816,64""";"""8381912,26""";"""6797456,7""";"""8637793,25""";"""4932471,57""";"""3320628,76""";"""2585041,94""";"""1844480,02""";"""1308941,14""";"""1304053,08""";"""1044076,49""";"""1013112,08""";"""1357032,1""";"""618396,96""";"""0"""
"""Abril""";"""7255976,89""";"""5522018,87""";"""6177750,86""";"""6066795,8""";"""3314672,51""";"""2072722,46""";"""2505262,11""";"""1656389,29""";"""1918854,24""";"""1387871,27""";"""1356273,69""";"""799604,14""";"""1249711,85""";"""909939,78""";"""2245184,92"""
"""Maio""";"""7451951,2""";"""5541143,89""";"""7196100,99""";"""4778691,06""";"""6171678,58""";"""5199098,7""";"""2048633,51""";"""2292152,74""";"""1792091,26""";"""1406124,67""";"""1176913,12""";"""1047167,3""";"""1000166,38""";"""771181,06""";"""4117042,26"""
"""Junho""";"""7379044,75""";"""7233867,09""";"""5017579,5""";"""5020477,56""";"""3712054,66""";"""2569256,3""";"""3835145,33""";"""2762627,96""";"""1782712,52""";"""1314401,14""";"""1010188,77""";"""1093396,39""";"""1328921,35""";"""938020,41""";"""979073,32"""
"""Subtotal
1ş Semestre""";"""41076743,99""";"""40226048,38""";"""36063782,73""";"""32804271,72""";"""25525608,56""";"""19069884,8""";"""15184121,41""";"""11579122,81""";"""9804652,53""";"""7825539,64""";"""6870178,37""";"""5945304,57""";"""7310404,84""";"""7070428,13""";"""7341300,5"""
;;;;;;;;;;;;;;;
"""Julho""";"""6523531,74""";"""6647765,07""";"""6092412,75""";"""6263757,15""";"""6214944,14""";"""3657313,5""";"""2473758,51""";"""2270068,72""";"""2340020,79""";"""1597435,19""";"""1166861,26""";"""1157125,37""";"""1148167,52""";"""1845963,12""";"""921296,78"""
"""Agosto""";"""6701875,25""";"""5867334,44""";"""6348643,32""";"""5115303,1""";"""4339503,78""";"""3515938,12""";"""2853541,15""";"""2159592,21""";"""1394759,12""";"""1408598,29""";"""890465,75""";"""909733,42""";"""1075268,73""";"""3873344,76""";"""1902410,64"""
"""Setembro""";"""6684669,2""";"""6547881,73""";"""6774985,12""";"""5783618,91""";"""4759563,36""";"""3562576,58""";"""2389428,65""";"""2218888,98""";"""2445242,29""";"""990193,84""";"""975795,02""";"""1052109,32""";"""1162754,2""";"""2039473,48""";"""1293579,83"""
"""Outubro""";"""5581622,91""";"""7867460,97""";"""6041764,33""";"""6158564,85""";"""4255583,64""";"""3299306,04""";"""3075848,49""";"""1859940,13""";"""1959129,37""";"""1526264,94""";"""1299580,4""";"""1633630,62""";"""1169357,35""";"""855486,88""";"""1232382,49"""
"""Novembro""";"""7687851,74""";"""6178800,46""";"""4762966,62""";"""4587870,41""";"""5351581,5""";"""3880311,9""";"""3274678,33""";"""2285547,78""";"""1342355,02""";"""1563081,72""";"""1425281,96""";"""1138703,94""";"""1107598,69""";"""2512987,56""";"""1030186,73"""
"""Dezembro""";"""6582162,24""";"""6999264,63""";"""5363237,45""";"""6713227,07""";"""5912282,32""";"""4619990,21""";"""3462329,2""";"""3578876,08""";"""3048070,17""";"""1753934,93""";"""1821605,83""";"""1045020,84""";"""1299547,76""";"""1009562,17""";"""508442,03"""
"""Subtotal
2ş Semestre""";"""39761713,08""";"""40108507,3""";"""35384009,59""";"""34622341,49""";"""30833458,74""";"""22535436,35""";"""17529584,33""";"""14372913,9""";"""12529576,76""";"""8839508,91""";"""7579590,22""";"""6936323,51""";"""6962694,25""";"""12136817,97""";"""6888298,5"""
;;;;;;;;;;;;;;;
"""Total""";"""80838457,07""";"""80334555,68""";"""71447792,32""";"""67426613,21""";"""56359067,3""";"""41605321,15""";"""32713705,74""";"""25952036,71""";"""22334229,29""";"""16665048,55""";"""14449768,59""";"""12881628,08""";"""14273099,09""";"""19207246,1""";"""14229599"""
;;;;;;;;;;;;;;;
"""Fonte: ANCINE (Superintendęncia de Fomento - SFO).""";;;;;;;;;;;;;;;
"""2017: Sistema de Arrecadaçăo de Benefícios Fiscais (SABF) em 16/04/2018.""";;;;;;;;;;;;;;;
"""2016: Sistema de Informaçőes da ANCINE (SIA)/Sistema de Arrecadaçăo em 19/04/2017.""";;;;;;;;;;;;;;;
"""2015: Sistema de Informaçőes da ANCINE (SIA)/Sistema de Arrecadaçăo em 06/05/2016.""";;;;;;;;;;;;;;;
"""2002 a 2014: Sistema de Informaçőes da ANCINE (SIA)/Sistema de Arrecadaçăo em 28/09/2015.""";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"""Os valores disponíveis nesse arquivo săo valores correntes do ano de referęncia.""";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"""Elaboraçăo: Coordenaçăo do Observatório do Cinema e do Audiovisual. Publicado em 04/06/2018.""";;;;;;;;;;;;;;;
