Listagem de projetos contemplados e valores – Programa Ibermedia 2004 a 2019;;;;;;;;
;;;;;;;;
Ano do Edital;Modalidade;Projeto;Certificado de Produto Brasileiro (CPB);CNPJ;Empresa Brasileira Beneficiária no Ibermedia;UF;Participação Patrimonial;Valor (US$)
2019;Coprodução;Animal Print; -;07.525.577/0001-66;Anavilhana Filmes Ltda - ME;MG;Coprodução Brasil Minoritário;60.000,00
2019;Coprodução;Livramento; -;09.505.106/0001-11;Arissas Multimídia Ltda;RJ;Coprodução Brasil Majoritário;90.000,00
2019;Coprodução;Bestia; -;08.345.658/0001-47;Artesã Comunicação e Filmes Ltda - ME;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;El Baile De Los 41; -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ;Coprodução Brasil Minoritário;55.760,00
2019;Coprodução;Los Brujos; -; 03.112.121/0001-13;Cine Latina Estudio EIRELI - EPP;SP;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Il Barbiere Della Marina; -;13.110.657/0001-53;Media Bridge Produções Ltda.;RJ;Coprodução Brasil Minoritário;76.964,00
2019;Coprodução;Ese Fin De Semana; -;15.588.308/0001-77;Persona Non Grata Pictures - Produções e Projetos Cinematográficos Ltda - ME;SP;Coprodução Brasil Minoritário;70.000,00
2019;Coprodução;Sucedió En Enero; -;74.107.475/0001-18;Plural Filmes;RJ;Coprodução Brasil Minoritário;52.000,00
2019;Coprodução;La Inversión De La Carga; -;11.545.487/0001-04;Querosene Filmes;SP;Coprodução Brasil Minoritário;60.000,00
2019;Coprodução;A Bela América; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Variaciones De Koch; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Quando Minha Vida Era Minha Vida; -;52.858.982/0001-50;Superfilmes;SP;Coprodução Brasil Majoritário;70.000,00
2019;Coprodução;Casa no Campo; -;10.468.552/0001-82;Tokyo Films Ltda.;RS;Coprodução Brasil Majoritário;50.000,00
2019;Coprodução;Ladrilleros; -;23.189.788/0001-21;Valkyria Cine Eireli - ME;RJ;Coprodução Brasil Majoritário;40.000,00
2019;Desenvolvimento;Tempo de Poder; -;24.947.308/0001-07;Caliandra Flor Produções Artísticas Ltda -ME;GO; -;7.000,00
2019;Desenvolvimento;Tempestade; -;03.746.956/0001-25;Coala Produções Audiovisuais Ltda;SP; -;11.100,00
2019;Desenvolvimento;Manas; -;07.501.094/0001-21;Mariola Filmes e Produções Ltda.;PE; -;8.600,00
2019;Desenvolvimento;Náufragos; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ; -;7.000,00
2019;Formação;BR Lab; -;09.397.798/0001-21;Klaxon Cultura Audiovisual Ltda-Me;SP; -;34.700,00
2018;Coprodução;Las Vacaciones De Hilda; -;09.505.106/0001-11;Arissas Multimídia Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;L'Educazione Della Nonna; -;08.790.022/0001-04;Beleza! Conteudo;SP;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;La Botera; -;14.150.761/0001-34;Besouro de Ouro;RJ;Coprodução Brasil Minoritário;80.000,00
2018;Coprodução;Pedro; -;02.238.621/0001-33;Buriti Filmes;SP;Coprodução Brasil Majoritário;90.000,00
2018;Coprodução;Centro da Terra; -;12.658.679/0001-90;Desvia Ltda;PE;Coprodução Brasil Majoritário;100.000,00
2018;Coprodução;Deserto Particular; -;09.437.566/0001-50;Grafo Audiovisual Ltda Me;PR;Coprodução Brasil Majoritário;90.522,00
2018;Coprodução;Verdes Campos; -;09.437.566/0001-50;Grafo Audiovisual Ltda Me;PR;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;El Fantasma; -;05.572.253/0001-53;Lente Viva Filmes Ltda - EPP;SP;Coprodução Brasil Minoritário;70.000,00
2018;Coprodução;La Erección De Toribio Bardelli; -;10.615.584/0001-63;Moinhos de Filme;RJ;Coprodução Brasil Minoritário;70.464,00
2018;Coprodução;Un Crimen En Común; -;29.121.096/0001-28;Multiverso Produções;SP;Coprodução Brasil Minoritário;50.000,00
2018;Coprodução;A Teoria dos Vidros Quebrados (La Teoría De Los Vidrios Rotos); -;08.267.476/0001-03;Okna Produções;RS;Coprodução Brasil Minoritário;96.777,00
2018;Coprodução;A Casa Flutante; -;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;Alfredo Y Catalina; -;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;28.995,00
2018;Desenvolvimento;Árvore Perfumada; -;60.636.537/0001-74;Lauper;SP; -;15.000,00
2018;Desenvolvimento;Indolor; -;11.000.556/0001-02;Sancho Filmes;SP; -;15.000,00
2018;Formação;Brlab – Desenvolvimento De Projetos Audiovisuais; -;09.397.798/0001-21;Klaxon Cultura Audiovisual Ltda-Me;SP; -;35.399,00
2017;Coprodução;Botánica Y Destino En Quehueri-Ono; -;07.446.356/0001-00;Avoa Filmes Cine Video Comercial Ltda;SP;Coprodução Brasil Minoritário;"$ 80.000,00
$ 8.000,00 (distribuición para Ecuador)"
2017;Coprodução;Araña; -;07.533.507/0001-50;Be Bossa Nova Criações e Produções S/A;SP;Coprodução Brasil Minoritário;117.120,00
2017;Coprodução;Zacarias; -;08.440.376/0001-29;Delicatessen Filmes;SP;Coprodução Brasil Minoritário;99.000,00
2017;Coprodução;Divino Amor (ex Obreiro);B1900232700000;12.658.679/0001-90;Desvia Ltda;PE;Coprodução Brasil Majoritário;70.000,00
2017;Coprodução;O Sentido da Vida; -;02.525.725/0001-29;O2 Cinema Ltda;SP;Coprodução Brasil Minoritário;100.000,00
2017;Coprodução;Desobsesión; -;11.265.176/0001-91;Preta Portê Filmes e Produções Culturais Ltda;SP;Coprodução Brasil Minoritário;80.000,00
2017;Coprodução;El Camino de Allah; -;06.137.016/0001-27;Primo Filmes Ltda;SP;Coprodução Brasil Minoritário;40.000,00
2017;Coprodução;O Clube dos Anjos; -;10.441.993/0001-90;Sobretudo Produção Audiovisual e Artística Ltda;RJ;Coprodução Brasil Majoritário;60.000,00
2017;Coprodução;Quanto Basta (ex Palato Assoluto); -;"04.344.932/0001-02;
01.378.559/0001-12";TC Filmes/Gullane Entretenimento S.A.;SP;Coprodução Brasil Minoritário;70.000,00
2017;Coprodução;Senhoritas; -;19.305.367/0001-41;Vilarejo Filmes Ltda ME;PE;Coprodução Brasil Majoritário;81.199,00
2017;Desenvolvimento;Viúvos; -;09.012.841/0001-93;Barry Company;SP; -;8.000,00
2017;Desenvolvimento;Caminho Aberto; -;11.407.304/0001-94;Estrangeira Filmes Ltda;SP; -;4.000,00
2017;Desenvolvimento;Doce Inferno na Galáxia; -;08.296.780/0001-70;Neoplastique Entretenimento Ltda;SP; -;8.000,00
2017;Desenvolvimento;Casarão; -;12.772.107/0001-37;Novelo Filmes;SC; -;9.000,00
2017;Desenvolvimento;Amici, Cinema Italiano e Cinema Brasileiro; -;30.085.492/0001-26;Olhar Feminino Produções Ltda - ME;RJ; -;9.000,00
2017;Desenvolvimento;Fim da Primeira Parte; -;16.871.935/0001-83;Planetário Filmes Ltda;RJ; -;11.000,00
2017;Desenvolvimento;Tia Virgínia; -;20.519.742/0001-35;Roseira Filmes;SP; -;11.000,00
2017;Desenvolvimento;Quando Minha Vida Era Minha Vida; -;52.858.982/0001-50;Superfilmes;SP; -;11.000,00
2016;Coprodução;Benzinho;B1800106900000;15.318.729/0001-88;Baleia Filmes;RJ;Coprodução Brasil Majoritário;70.000,00
2016;Coprodução;O Livro dos Prazeres; -;06.323.379/0001-57;Big Bonsai;SP;Coprodução Brasil Majoritário;90.000,00
2016;Coprodução;Verlust;B1900468100000;94.625.829/0001-23;Casa de Cinema de Porto Alegre Ltda.;RS;Coprodução Brasil Majoritário;62.660,00
2016;Coprodução;Los Silencios;B1800445500000;11.101.993/0001-04;Descoloniza Filmes;SP;Coprodução Brasil Majoritário;90.000,00
2016;Coprodução;Perro Negro; -;09.437.566/0001-50;Grafo Audiovisual Ltda ME;PR;Coprodução Brasil Minoritário;100.000,00
2016;Coprodução;Pessoas Humanas;B1800468000000;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;45.825,00
2016;Coprodução;Poetas do Céu;B1900050800000;11.545.487/0001-04;Querosene Filmes;SP;Coprodução Brasil Minoritário;100.000,00
2016;Desenvolvimento;Livramento; -;09.505.106/0001-11;Arissas Multimídia Ltda;RJ; -;10.000,00
2016;Desenvolvimento;Tiete; -;11.726.997/0001-88;Blum Filmes Produções Artísticas Ltda - ME;RJ; -;10.000,00
2016;Desenvolvimento;O Barqueiro;B1402191300000;16.490.810/0001-03;Casadasartes Produtora De Filmes Ltda;SP; -;10.000,00
2016;Desenvolvimento;As Prenhas (Las Preñadas); -;06.236.625/0001-33;Kinopus;PR; -;10.000,00
2016;Desenvolvimento;Amanha Eu Conto; -;04.467.789/0001-46;Person Produções Ltda - ME;SP; -;10.000,00
2016;Desenvolvimento;Cyclone; -;16.871.935/0001-83;Planetário Filmes Ltda;RJ; -;10.000,00
2016;Desenvolvimento;Naúfragos; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ; -;10.000,00
2016;Desenvolvimento;O Testamento; -;09.355.997/0001-77;Sereia;BA; -;10.000,00
2016;Desenvolvimento;Senhoritas; -;19.305.367/0001-41;Vilarejo Filmes Ltda ME;PE; -;9.715,00
2015;Coprodução;El Último Año Del Congo Mirador; -;15.129.442/0001-00;Avila Produções Ltda;SP;Coprodução Brasil Minoritário;40.000,00
2015;Coprodução;Che, Memórias de um Ano Secreto (ex Fisím);em cadastramento;00.993.636/0001-81;Bucanero Filmes;CE;Coprodução Brasil Majoritário;70.000,00
2015;Coprodução;Chico Ventana También Quisiera Tener Un Submarino; -;12.658.679/0001-90;Desvia Ltda;PE;Coprodução Brasil Minoritário;100.000,00
2015;Coprodução;As Herdeiras;B1800293900000;14.798.449/0001-51;Esquina Produções Artísticas Ltda ME;RJ;Coprodução Brasil Minoritário;100.000,00
2015;Coprodução;O Grande Circo Místico;B1800000800000;73.586.513/0001-08;Luz Mágica Produções;RJ;Coprodução Brasil Majoritário;100.000,00
2015;Coprodução;Refrigerantes e Canções de Amor (ex Refrigerantes);B1700264400000;73.586.513/0001-08;Luz Mágica Produções;RJ;Coprodução Brasil Minoritário;100.000,00
2015;Coprodução;Rosas de Ermera;em cadastramento;73.586.513/0001-08;Luz Mágica Produções;RJ;Coprodução Brasil Minoritário;60.000,00
2015;Coprodução;Joaquim (ex Um Certo Joaquim);B1700092500000;02.669.022/0001-74;Rec Produtores Associados;PE;Coprodução Brasil Majoritário;50.000,00
2015;Coprodução;(Raiva (ex Seara de Vento);B1800187200000;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;90.000,00
2015;Coprodução;Praça Paris;B1700405200000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ;Coprodução Brasil Majoritário;50.000,00
2015;Coprodução;O Último Jogo;B1800612900000;16.487.027/0001-90;Truque Produtora De Cinema TV e Vídeo Ltda;BA;Coprodução Brasil Majoritário;50.000,00
2015;Coprodução;Happy Hour;B1700571300000;05.256.465/0001-21;Urca Filmes Ltda;RJ;Coprodução Brasil Majoritário;50.000,00
2015;Desenvolvimento;Dolores; -;07.477.471/0001-34;Bossa Nova Films Criações e Produções S/A;SP; -;10.000,00
2015;Desenvolvimento;Pétalas Negras; -;15.144.532/0001-70;Embaúba Filmes;MG; -;7.500,00
2015;Desenvolvimento;Meu Nome é Bagdá (ex Bagdá); -;09.163.772/0001-19;Manjericão Filmes Ltda ME;SP; -;7.500,00
2015;Desenvolvimento;Fé Cega, Faca Amolada; -;15.588.308/0001-77;Persona Non Grata Pictures - Produções e Projetos Cinematográficos Ltda - ME;SP; -;10.000,00
2015;Desenvolvimento;Vozes no Silêncio; -;07.110.153/0001-30;T'AI Criação e Produção Ltda;MG; -;10.000,00
2014;Coprodução;Porno para Iniciantes (ex Pornostein);B1900435600000;07.477.471/0001-34;Bossa Nova Films Criações e Produções S/A;SP;Coprodução Brasil Minoritário;90.000,00
2014;Coprodução;Vazante (ex Mercedes);B1700051600000;66.876.707/0001-74;Dezenove Som e Imagens Produções Ltda - EPP;SP;Coprodução Brasil Majoritário;90.000,00
2014;Coprodução;Pendular (ex Os Caminhos de Batista);B1700104200000;14.798.449/0001-51;Esquina Produções Artísticas Ltda ME;RJ;Coprodução Brasil Majoritário;90.000,00
2014;Coprodução;Mulher do Pai (ex Na Sala de Jantar);B1600420900000;08.267.476/0001-03;Okna Produções;RS;Coprodução Brasil Majoritário;90.000,00
2014;Coprodução;Comboio de Sal e Açúcar;B1700249500000;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;90.000,00
2014;Coprodução;Diamantino (ex Tristes Monroes);B1800445100000;09.409.976/0001-97;Syndrome Films;RJ;Coprodução Brasil Minoritário;90.000,00
2014;Coprodução;El Hombre que Cuida;B1800115900000;15.745.495/0001-55;Tempero Filmes Ltda;MG;Coprodução Brasil Minoritário;80.000,00
2014;Desenvolvimento;Estrella Distante; -;05.387.293/0001-25;Camisa Treze Cultural Ltda;SP; -;10.000,00
2014;Desenvolvimento;Pendular;B1700104200000;06.274.259/0001-07;Catavento Produções Audiovisuais Ltda - Me;SP; -;12.000,00
2014;Desenvolvimento;Segundo Tempo;B1900417800000;06.096.915/0001-29;Miração Filmes Ltda;SP; -;12.000,00
2014;Desenvolvimento;Esmeralda; -;54.836.861/0001-33;PA Produtores Associados Ltda;SP; -;10.000,00
2014;Desenvolvimento;Meninas do Crime; -;06.207.523/0001-90;Plano Geral Produções Artísticas e Cinematográficas Ltda;SP; -;10.000,00
2014;Desenvolvimento;Lilith; -;02.342.813/0001-95;TB Produções Ltda;RJ; -;12.000,00
2013;Coprodução;Ausência;B1500276200000;07.477.471/0001-34;Bossa Nova Films Criações e Produções S/A;SP;Coprodução Brasil Majoritário;100.000,00
2013;Coprodução;Vinte Anos (ex Pão Sem Cebola);B1600725300000;33.451.113/0001-62;Filmes do Serro Ltda;RJ;Coprodução Brasil Majoritário;80.000,00
2013;Coprodução;Filhos da Pista/Los Hijos de La Ruta; -;09.385.866/0001-32;Latina Studio Produções EIRELI;SP;Coprodução Brasil Minoritário;80.000,00
2013;Coprodução;Meu Mundial;B1700479800000;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;95.000,00
2013;Coprodução;A Nação que não Esperou por Deus;B1500105700000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ;Coprodução Brasil Majoritário;80.000,00
2013;Coprodução;Outra História do Mundo;B1700431000000;01.713.311/0001-60;Tres Mundos Cine Y Video Ltda;RJ;Coprodução Brasil Minoritário;95.000,00
2013;Desenvolvimento;Carmen; -;07.907.404/0001-02;Enquadramento Produções;SP; -;10.000,00
2013;Desenvolvimento;Pendular;B1700104200000;14.798.449/0001-51;Esquina Produções Artísticas Ltda ME;RJ; -;10.000,00
2013;Desenvolvimento;Desterro;B1101465300000;07.372.049/0001-14;Filmes de Abril Produções Audiovisuais Ltda;SP; -;10.000,00
2013;Desenvolvimento;Campo Grande;B1500344800000;29.269.719/0001-04;Tambellini Filmes e Produções Audiovisuais Ltda;RJ; -;10.000,00
2013;Formação;Brlab Laboratorio Desenvolvimento de Projetos; -;09.397.798/0001-21;Klaxon Cultura Audiovisual Ltda-Me;SP; -;30.000,00
2013;Formação;Workshop e Tal; -;05.576.331/0001-98;TAL;SP; -;30.000,00
2012;Coprodução;Mate-Me Por Favor;B1500651700000;02.140.120/0001-10;Bananeira Filmes Ltda;RJ;Coprodução Brasil Majoritário;100.000,00
2012;Coprodução;Refugiado; -;07.477.471/0001-34;Bossa Nova Films Criações e Produções S/A;SP;Coprodução Brasil Minoritário;20.000,00
2012;Coprodução;Alguém Como Eu (ex Mulheres);B1800130000000;01.378.559/0001-12;Gullane Entretenimento S.A.;SP;Coprodução Brasil Minoritário;50.000,00
2012;Coprodução;Beatriz;B1500711400000;27.920.016/0001-79;Mpc & Associados;RJ;Coprodução Brasil Majoritário;100.000,00
2012;Coprodução;Lua em Sagitário;B1600564300000;01.282.220/0001-18;Plural Filmes Sul;SC;Coprodução Brasil Majoritário;80.000,00
2012;Coprodução;Os Inimigos da Dor;B1402391300000;06.137.016/0001-27;Primo Filmes Ltda;SP;Coprodução Brasil Minoritário;20.800,00
2012;Coprodução;Rompiendo La Ola;B1500629500000;01.713.311/0001-60;Tres Mundos Cine Y Video Ltda;RJ;Coprodução Brasil Minoritário;6.000,00
2012;Coprodução;Habi, La Extranjera;B1301945700000;31.179.864/0001-46;Videofilmes Produções Artísticas Ltda;RJ;Coprodução Brasil Minoritário;16.000,00
2012;Desenvolvimento;Do Outro Lado da Lua; -;13.507.233/0001-27;Cineramabc Filmes e Produções Artísticas;SC; -;14.000,00
2012;Desenvolvimento;Los Silencios (ex Cinco Vidas e um Segredo);B1800445500000;11.101.993/0001-04;Descoloniza Filmes;SP; -;7.450,00
