ano,grupo_servico,codigo_nbs,descricao_servico,valor_vendido_usd_nominal,valor_adquirido_usd_nominal,saldo_usd_nominal,unidade_original
2014,Licenciamento de Direitos,1.1103.31.00,Licenciamento de direitos de autor de obras cinematográficas,487790.68,88781818.63,-88294027.95,USD nominal
2014,Licenciamento de Direitos,1.1103.32.00,Licenciamento de direitos de autor de obras jornalísticas,24288.81,501792.67,-477503.86,USD nominal
2014,Licenciamento de Direitos,1.1103.33.00,Licenciamento de direitos de autor de obras publicitárias,0.0,6509531.79,-6509531.79,USD nominal
2014,Licenciamento de Direitos,1.1103.34.00,Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,1493653.86,-1493653.86,USD nominal
2014,Licenciamento de Direitos,1.1103.35.00,Licenciamento de direitos conexos de produtores de obras audiovisuais,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1103.39.11,Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos,0.0,402284845.45,-402284845.45,USD nominal
2014,Licenciamento de Direitos,1.1103.39.12,Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos,0.0,384063431.04,-384063431.04,USD nominal
2014,Licenciamento de Direitos,1.1103.39.19,Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas,8073957.09,156915528.27,-148841571.18,USD nominal
2014,Licenciamento de Direitos,1.1103.39.90,"Licenciamento de direitos de outras obras audiovisuais, não classificados nos itens anteriores",2032380.57,18487785.66,-16455405.1,USD nominal
2014,Licenciamento de Direitos,1.1103.50.00,Licenciamento de direitos relacionados à radiodifusão  -  Cessão de Direitos,0.0,47106281.17,-47106281.17,USD nominal
2014,Licenciamento de Direitos,1.1104.31.00,Cessão temporária de direitos de autor de obras cinematográficas,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.32.00,Cessão temporária de direitos de autor de obras jornalísticas,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.33.00,Cessão temporária de direitos de autor de obras publicitárias,0.0,327705.01,-327705.01,USD nominal
2014,Licenciamento de Direitos,1.1104.34.00,Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,3565624.2,-3565624.2,USD nominal
2014,Licenciamento de Direitos,1.1104.35.00,Cessão temporária de direitos conexos de produtores de obras audiovisuais,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.39.11,Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.39.12,Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.39.19,Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.1104.39.90,"Cessão temporária de direitos de outras obras audiovisuais, não classificados em outro item",0.0,751511.05,-751511.05,USD nominal
2014,Licenciamento de Direitos,1.1104.50.00,Cessão temporária de direitos relacionados à radiodifusão,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.2701.31.00,Cessão de direitos de obras cinematográficas,616819.56,8861781.82,-8244962.26,USD nominal
2014,Licenciamento de Direitos,1.2701.32.00,Cessão de direitos de obras jornalísticas,0.0,0.0,0.0,USD nominal
2014,Licenciamento de Direitos,1.2701.33.00,Cessão de direitos de obras publicitárias,0.0,228321.76,-228321.76,USD nominal
2014,Licenciamento de Direitos,1.2701.39.00,Cessão de direitos de outras obras audiovisuais,2095424.91,39066708.07,-36971283.15,USD nominal
2014,Licenciamento de Direitos,1.2701.50.00,Cessão de direitos relacionados à radiodifusão,0.0,0.0,0.0,USD nominal
2014,Outros,1.1102.20.00,mento mercantil operacional ou locação de mídias gravadas,0.0,0.0,0.0,USD nominal
2014,Outros,1.1704.20.00,Serviços de agências de notícias em mídia audiovisual,0.0,12758355.38,-12758355.38,USD nominal
2014,Outros,1.2501.40.00,Serviços de agenciamento pela comercialização de obras audiovisuais,0.0,39435.46,-39435.46,USD nominal
2014,Outros,1.2501.50.00,Serviços de projeção de filmes,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.1406.32.00,"empo para propaganda em rádio e televisão, exceto sob comissão",26749560.2,17141369.13,9608191.07,USD nominal
2014,TV Aberta,1.1408.19.00,Outros serviços fotográficos e videográficos,344575.49,1948699.94,-1604124.45,USD nominal
2014,TV Aberta,1.1706.12.10,Serviços de difusão de programas originais para televisão aberta,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.1706.22.00,Serviços de programação dos canais de televisão,0.0,22181363.76,-22181363.76,USD nominal
2014,TV Aberta,1.1706.30.00,Serviços de distribuição de sinais de rádio e televisão,0.0,8804852.03,-8804852.03,USD nominal
2014,TV Aberta,1.1706.40.00,Serviços de distribuição de programas de televisão aberta,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.1706.90.00,"Outros serviços de difusão, programação e distribuição de programas de rádio e televisão   -  Produção e Pós- Produção",491842.13,1409252.88,-917410.75,USD nominal
2014,TV Aberta,1.2501.11.00,Serviços de gravação de som em estúdio,1820487.79,564030.82,1256456.97,USD nominal
2014,TV Aberta,1.2501.21.00,"Serviços de produção de programas de televisão, videoteipes e filmes",26259346.02,12001109.25,14258236.77,USD nominal
2014,TV Aberta,1.2501.31.00,Serviços de edição de obras audiovisuais,0.0,485621.47,-485621.47,USD nominal
2014,TV Aberta,1.2501.32.00,Serviços de duplicação e transferência de obras audiovisuais,0.0,816065.65,-816065.65,USD nominal
2014,TV Aberta,1.2501.33.00,Serviços de correção de cor e restauração digital de obras audiovisuais,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.2501.34.00,Serviços de efeitos visuais em obras audiovisuais Comércio Exterior de Serviços Audiovisuais Ano-Base 2019,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.2501.35.00,Serviços de animação,0.0,0.0,0.0,USD nominal
2014,TV Aberta,1.2501.36.00,"Serviços de legendas, títulos e dublagem em obras audiovisuais",2825110.53,705331.49,2119779.04,USD nominal
2014,TV Aberta,1.2501.37.00,Serviços de projeto e edição de som em obras audiovisuais,0.0,12587.69,-12587.69,USD nominal
2014,TV Aberta,1.2501.39.00,Outros serviços de pós-produção em obras audiovisuais,0.0,608596.4,-608596.4,USD nominal
2014,TV Aberta,1.2501.90.00,"Outros serviços de produção audiovisual, de apoio e relacionados",1867134.11,333463.92,1533670.18,USD nominal
2014,TV Paga,1.1701.50.10,de distribuição de pacotes básicos de programação de televisão por assinatura,0.0,306332956.63,-306332956.63,USD nominal
2014,TV Paga,1.1701.50.20,Serviços de distribuição de grades de programação especiais de televisão por assinatura,0.0,0.0,0.0,USD nominal
2014,TV Paga,1.1701.50.30,Serviços de distribuição de programação através do sistema pague e assista (pay-per-view) de televisão por assinatura,0.0,0.0,0.0,USD nominal
2014,TV Paga,1.1701.50.90,"Outros serviços de distribuição de programação de televisão por assinatura, inclusive os pacotes combinados",0.0,0.0,0.0,USD nominal
2014,TV Paga,1.1706.12.20,Serviços de difusão de programas originais para televisão por assinatura,0.0,34752.45,-34752.45,USD nominal
2014,VoD,1.1703.30.00,"iços de oferta de filmes e vídeos, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line)",0.0,1020820.69,-1020820.69,USD nominal
2015,Licenciamento de Direitos,1.1103.31.00,Licenciamento de direitos de autor de obras cinematográficas,798465.73,89290056.96,-88491591.23,USD nominal
2015,Licenciamento de Direitos,1.1103.32.00,Licenciamento de direitos de autor de obras jornalísticas,0.0,460488.39,-460488.39,USD nominal
2015,Licenciamento de Direitos,1.1103.33.00,Licenciamento de direitos de autor de obras publicitárias,0.0,1630191.44,-1630191.44,USD nominal
2015,Licenciamento de Direitos,1.1103.34.00,Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,4875919.34,-4875919.34,USD nominal
2015,Licenciamento de Direitos,1.1103.35.00,Licenciamento de direitos conexos de produtores de obras audiovisuais,0.0,3605177.17,-3605177.17,USD nominal
2015,Licenciamento de Direitos,1.1103.39.11,Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos,6901548.13,279922500.93,-273020952.8,USD nominal
2015,Licenciamento de Direitos,1.1103.39.12,Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos,52931039.37,409020801.63,-356089762.26,USD nominal
2015,Licenciamento de Direitos,1.1103.39.19,Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas,16467748.21,208592587.68,-192124839.47,USD nominal
2015,Licenciamento de Direitos,1.1103.39.90,"Licenciamento de direitos de outras obras audiovisuais, não classificados nos itens anteriores",3946328.82,115334236.08,-111387907.26,USD nominal
2015,Licenciamento de Direitos,1.1103.50.00,Licenciamento de direitos relacionados à radiodifusão  -  Cessão de Direitos,0.0,19061058.34,-19061058.34,USD nominal
2015,Licenciamento de Direitos,1.1104.31.00,Cessão temporária de direitos de autor de obras cinematográficas,0.0,0.0,0.0,USD nominal
2015,Licenciamento de Direitos,1.1104.32.00,Cessão temporária de direitos de autor de obras jornalísticas,0.0,33033.02,-33033.02,USD nominal
2015,Licenciamento de Direitos,1.1104.33.00,Cessão temporária de direitos de autor de obras publicitárias,2635346.15,32782.34,2602563.81,USD nominal
2015,Licenciamento de Direitos,1.1104.34.00,Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais  -  Comércio Exterior de Serviços Audiovisuais Ano-Base 2019,0.0,3359786.0,-3359786.0,USD nominal
2015,Licenciamento de Direitos,1.1104.35.00,Cessão temporária de direitos conexos de produtores de obras audiovisuais,0.0,0.0,0.0,USD nominal
2015,Licenciamento de Direitos,1.1104.39.11,Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos,0.0,0.0,0.0,USD nominal
2015,Licenciamento de Direitos,1.1104.39.12,Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos,0.0,6009.93,-6009.93,USD nominal
2015,Licenciamento de Direitos,1.1104.39.19,Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas,0.0,0.0,0.0,USD nominal
2015,Licenciamento de Direitos,1.1104.39.90,"Cessão temporária de direitos de outras obras audiovisuais, não classificados em outro item",0.0,491954.6,-491954.6,USD nominal
2015,Licenciamento de Direitos,1.1104.50.00,Cessão temporária de direitos relacionados à radiodifusão,0.0,22887.08,-22887.08,USD nominal
2015,Licenciamento de Direitos,1.2701.31.00,Cessão de direitos de obras cinematográficas,393608.01,1118127.82,-724519.81,USD nominal
2015,Licenciamento de Direitos,1.2701.32.00,Cessão de direitos de obras jornalísticas,439728.95,3594162.01,-3154433.06,USD nominal
2015,Licenciamento de Direitos,1.2701.33.00,Cessão de direitos de obras publicitárias,0.0,135259.66,-135259.66,USD nominal
2015,Licenciamento de Direitos,1.2701.39.00,Cessão de direitos de outras obras audiovisuais,1175065.67,36005620.01,-34830554.34,USD nominal
2015,Licenciamento de Direitos,1.2701.50.00,Cessão de direitos relacionados à radiodifusão,0.0,20806.8,-20806.8,USD nominal
2015,Outros,1.1102.20.00,mento mercantil operacional ou locação de mídias gravadas,0.0,118209.17,-118209.17,USD nominal
2015,Outros,1.1704.20.00,Serviços de agências de notícias em mídia audiovisual,0.0,5885219.52,-5885219.52,USD nominal
2015,Outros,1.2501.40.00,Serviços de agenciamento pela comercialização de obras audiovisuais,606515.74,93824.24,512691.5,USD nominal
2015,Outros,1.2501.50.00,Serviços de projeção de filmes,0.0,0.0,0.0,USD nominal
2015,TV Aberta,1.1406.32.00,"empo para propaganda em rádio e televisão, exceto sob comissão    Comércio Exterior de Serviços Audiovisuais Ano-Base 2019",25081364.45,7347234.32,17734130.13,USD nominal
2015,TV Aberta,1.1408.19.00,Outros serviços fotográficos e videográficos,2548511.18,749006.39,1799504.79,USD nominal
2015,TV Aberta,1.1706.12.10,Serviços de difusão de programas originais para televisão aberta,0.0,0.0,0.0,USD nominal
2015,TV Aberta,1.1706.22.00,Serviços de programação dos canais de televisão,0.0,29405274.44,-29405274.44,USD nominal
2015,TV Aberta,1.1706.30.00,Serviços de distribuição de sinais de rádio e televisão,0.0,12547482.38,-12547482.38,USD nominal
2015,TV Aberta,1.1706.40.00,Serviços de distribuição de programas de televisão aberta,0.0,0.0,0.0,USD nominal
2015,TV Aberta,1.1706.90.00,"Outros serviços de difusão, programação e distribuição de programas de rádio e televisão    Produção e Pós- Produção",1104164.42,1042162.02,62002.4,USD nominal
2015,TV Aberta,1.2501.11.00,Serviços de gravação de som em estúdio,0.0,72853.82,-72853.82,USD nominal
2015,TV Aberta,1.2501.21.00,"Serviços de produção de programas de televisão, videoteipe s e filmes",28483423.31,11008603.13,17474820.18,USD nominal
2015,TV Aberta,1.2501.31.00,Serviços de edição de obras audiovisuais,0.0,250702.19,-250702.19,USD nominal
2015,TV Aberta,1.2501.32.00,Serviços de duplicação e transferência de obras audiovisuais,0.0,567394.92,-567394.92,USD nominal
2015,TV Aberta,1.2501.33.00,Serviços de correção de cor e restauração digital de obras audiovisuais,0.0,0.0,0.0,USD nominal
2015,TV Aberta,1.2501.34.00,Serviços de efeitos visuais em obras audiovisuais,0.0,167034.69,-167034.69,USD nominal
2015,TV Aberta,1.2501.35.00,Serviços de animação,0.0,52291.61,-52291.61,USD nominal
2015,TV Aberta,1.2501.36.00,"Serviços de legendas, títulos e dublagem em obras audiovisuais",9686426.7,1334205.81,8352220.89,USD nominal
2015,TV Aberta,1.2501.37.00,Serviços de projeto e edição de som em obras audiovisuais,0.0,108490.01,-108490.01,USD nominal
2015,TV Aberta,1.2501.39.00,Outros serviços de pós-produção em obras audiovisuais,0.0,566842.88,-566842.88,USD nominal
2015,TV Aberta,1.2501.90.00,"Outros serviços de produção audiovisual, de apoio e relacionados",1607353.66,1537845.64,69508.02,USD nominal
2015,TV Paga,1.1701.50.10,de distribuição de pacotes básicos de programação de televisão por assinatura,0.0,341085479.72,-341085479.72,USD nominal
2015,TV Paga,1.1701.50.20,Serviços de distribuição de grades de programação especiais de televisão por assinatura,0.0,0.0,0.0,USD nominal
2015,TV Paga,1.1701.50.30,Serviços de distribuição de programação através do sistema pague e assista (pay-per-view) de televisão por assinatura,0.0,0.0,0.0,USD nominal
2015,TV Paga,1.1701.50.90,"Outros serviços de distribuição de programação de televisão por assinatura, inclusive os pacotes combinados",0.0,5945.39,-5945.39,USD nominal
2015,TV Paga,1.1706.12.20,Serviços de difusão de programas originais para televisão por assinatura,0.0,72308.32,-72308.32,USD nominal
2015,VoD,1.1703.30.00,"iços de oferta de filmes e vídeos, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line)",0.0,273793.15,-273793.15,USD nominal
2016,Licenciamento de Direitos,1.1103.31.00,Licenciamento de direitos de autor de obras cinematográficas,423163.39,81915889.79,-81492726.4,USD nominal
2016,Licenciamento de Direitos,1.1103.32.00,Licenciamento de direitos de autor de obras jornalísticas,0.0,667770.8,-667770.8,USD nominal
2016,Licenciamento de Direitos,1.1103.33.00,Licenciamento de direitos de autor de obras publicitárias,0.0,4955244.28,-4955244.28,USD nominal
2016,Licenciamento de Direitos,1.1103.34.00,Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,5909104.87,-5909104.87,USD nominal
2016,Licenciamento de Direitos,1.1103.35.00,Licenciamento de direitos conexos de produtores de obras audiovisuais,624787.03,1180343.15,-555556.12,USD nominal
2016,Licenciamento de Direitos,1.1103.39.11,Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos,17685301.07,336505512.41,-318820211.34,USD nominal
2016,Licenciamento de Direitos,1.1103.39.12,Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos,43123754.98,358552451.34,-315428696.36,USD nominal
2016,Licenciamento de Direitos,1.1103.39.19,Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas,6929452.67,185626587.04,-178697134.37,USD nominal
2016,Licenciamento de Direitos,1.1103.39.90,"Licenciamento de direitos de outras obras audiovisuais, não classificados nos itens anteriores",6174846.03,111359670.08,-105184824.05,USD nominal
2016,Licenciamento de Direitos,1.1103.50.00,Licenciamento de direitos relacionados à radiodifusão  -  Cessão de Direitos,0.0,20209232.79,-20209232.79,USD nominal
2016,Licenciamento de Direitos,1.1104.31.00,Cessão temporária de direitos de autor de obras cinematográficas,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.32.00,Cessão temporária de direitos de autor de obras jornalísticas,0.0,74671.9,-74671.9,USD nominal
2016,Licenciamento de Direitos,1.1104.33.00,Cessão temporária de direitos de autor de obras publicitárias,0.0,20525.41,-20525.41,USD nominal
2016,Licenciamento de Direitos,1.1104.34.00,Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.35.00,Cessão temporária de direitos conexos de produtores de obras audiovisuais Comércio Exterior de Serviços Audiovisuais Ano-Base 2019,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.39.11,Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.39.12,Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.39.19,Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.1104.39.90,"Cessão temporária de direitos de outras obras audiovisuais, não classificados em outro item",0.0,264552.89,-264552.89,USD nominal
2016,Licenciamento de Direitos,1.1104.50.00,Cessão temporária de direitos relacionados à radiodifusão,0.0,0.0,0.0,USD nominal
2016,Licenciamento de Direitos,1.2701.31.00,Cessão de direitos de obras cinematográficas,966517.93,2013280.03,-1046762.1,USD nominal
2016,Licenciamento de Direitos,1.2701.32.00,Cessão de direitos de obras jornalísticas,167688.2,2906566.21,-2738878.01,USD nominal
2016,Licenciamento de Direitos,1.2701.33.00,Cessão de direitos de obras publicitárias,0.0,426411.21,-426411.21,USD nominal
2016,Licenciamento de Direitos,1.2701.39.00,Cessão de direitos de outras obras audiovisuais,1424880.52,33060473.0,-31635592.48,USD nominal
2016,Licenciamento de Direitos,1.2701.50.00,Cessão de direitos relacionados à radiodifusão,0.0,0.0,0.0,USD nominal
2016,Outros,1.1102.20.00,mento mercantil operacional ou locação de mídias gravadas,0.0,0.0,0.0,USD nominal
2016,Outros,1.1704.20.00,Serviços de agências de notícias em mídia audiovisual,0.0,4868809.27,-4868809.27,USD nominal
2016,Outros,1.2501.40.00,Serviços de agenciamento pela comercialização de obras audiovisuais,490844.54,243077.42,247767.12,USD nominal
2016,Outros,1.2501.50.00,Serviços de projeção de filmes,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.1406.32.00,"empo para propaganda em rádio e televisão, exceto sob comissão",51038239.43,3455965.81,47582273.62,USD nominal
2016,TV Aberta,1.1408.19.00,Outros serviços fotográficos e videográficos,2431648.56,211036.9,2220611.66,USD nominal
2016,TV Aberta,1.1706.12.10,Serviços de difusão de programas originais para televisão aberta,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.1706.22.00,Serviços de programação dos canais de televisão  -  Comércio Exterior de Serviços Audiovisuais Ano-Base 2019,0.0,37328349.54,-37328349.54,USD nominal
2016,TV Aberta,1.1706.30.00,Serviços de distribuição de sinais de rádio e televisão,0.0,12603447.65,-12603447.65,USD nominal
2016,TV Aberta,1.1706.40.00,Serviços de distribuição de programas de televisão aberta,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.1706.90.00,"Outros serviços de difusão, programação e distribuição de programas de rádio e televisão   -  Produção e Pós- Produção",1494452.34,1702100.19,-207647.85,USD nominal
2016,TV Aberta,1.2501.11.00,Serviços de gravação de som em estúdio,0.0,200783.95,-200783.95,USD nominal
2016,TV Aberta,1.2501.21.00,"Serviços de produção de programas de televisão, videoteipe s e filmes",27191249.1,4354854.97,22836394.13,USD nominal
2016,TV Aberta,1.2501.31.00,Serviços de edição de obras audiovisuais,307423.94,136475.1,170948.84,USD nominal
2016,TV Aberta,1.2501.32.00,Serviços de duplicação e transferência de obras audiovisuais,0.0,242076.31,-242076.31,USD nominal
2016,TV Aberta,1.2501.33.00,Serviços de correção de cor e restauração digital de obras audiovisuais,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.2501.34.00,Serviços de efeitos visuais em obras audiovisuais,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.2501.35.00,Serviços de animação,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.2501.36.00,"Serviços de legendas, títulos e dublagem em obras audiovisuais",14006490.87,1325231.6,12681259.27,USD nominal
2016,TV Aberta,1.2501.37.00,Serviços de projeto e edição de som em obras audiovisuais,0.0,0.0,0.0,USD nominal
2016,TV Aberta,1.2501.39.00,Outros serviços de pós-produção em obras audiovisuais,85231.79,419459.38,-334227.59,USD nominal
2016,TV Aberta,1.2501.90.00,"Outros serviços de produção audiovisual, de apoio e relacionados",1501575.49,355591.84,1145983.65,USD nominal
2016,TV Paga,1.1701.50.10,de distribuição de pacotes básicos de programação de televisão por assinatura,0.0,532818248.1,-532818248.1,USD nominal
2016,TV Paga,1.1701.50.20,Serviços de distribuição de grades de programação especiais de televisão por assinatura,0.0,0.0,0.0,USD nominal
2016,TV Paga,1.1701.50.30,Serviços de distribuição de programação através do sistema pague e assista (pay-per-view) de televisão por assinatura,0.0,0.0,0.0,USD nominal
2016,TV Paga,1.1701.50.90,"Outros serviços de distribuição de programação de televisão por assinatura, inclusive os pacotes combinados",0.0,0.0,0.0,USD nominal
2016,TV Paga,1.1706.12.20,Serviços de difusão de programas originais para televisão por assinatura,0.0,0.0,0.0,USD nominal
2016,VoD,1.1703.30.00,"iços de oferta de filmes e vídeos, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line)",0.0,168674.25,-168674.25,USD nominal
2017,Licenciamento de Direitos,1.1103.31.00,Licenciamento de direitos de autor de obras cinematográficas,4470031.5,120606096.7,-116136065.2,USD nominal
2017,Licenciamento de Direitos,1.1103.32.00,Licenciamento de direitos de autor de obras jornalísticas,0.0,946119.3,-946119.3,USD nominal
2017,Licenciamento de Direitos,1.1103.33.00,Licenciamento de direitos de autor de obras publicitárias,0.0,399994.6,-399994.6,USD nominal
2017,Licenciamento de Direitos,1.1103.34.00,Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,0.0,1509173.1,-1509173.1,USD nominal
2017,Licenciamento de Direitos,1.1103.35.00,Licenciamento de direitos conexos de produtores de obras audiovisuais,101584.5,2123495.3,-2021910.8,USD nominal
2017,Licenciamento de Direitos,1.1103.39.11,Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos,17599933.0,301505801.9,-283905868.9,USD nominal
2017,Licenciamento de Direitos,1.1103.39.12,Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos,50004422.4,400867987.8,-350863565.4,USD nominal
2017,Licenciamento de Direitos,1.1103.39.19,Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas,9994870.8,156453675.4,-146458804.6,USD nominal
2017,Licenciamento de Direitos,1.1103.39.90,"Licenciamento de direitos de outras obras audiovisuais, não classificados nos itens anteriores",22521689.5,34348669.7,-11826980.2,USD nominal
2017,Licenciamento de Direitos,1.1103.50.00,Licenciamento de direitos relacionados à radiodifusão  - Cessão de Direitos,0.0,64069075.7,-64069075.7,USD nominal
2017,Licenciamento de Direitos,1.1104.31.00,Cessão temporária de direitos de autor de obras cinematográficas,0.0,30020488.7,-30020488.7,USD nominal
