ano,cnae_classe,cnae_subclasse,classe,subclasse,empregos_formais_ativos_31_12
2010,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1047
2011,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1148
2012,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,927
2013,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1072
2014,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1227
2015,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1079
2016,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,835
2017,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,750
2018,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,764
2019,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,706
2010,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,1648
2011,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2094
2012,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2338
2013,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2625
2014,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2581
2015,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2376
2016,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2355
2017,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2170
2018,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2240
2019,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2229
2010,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",4175
2011,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",5121
2012,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",5631
2013,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6190
2014,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6084
2015,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6152
2016,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6371
2017,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6014
2018,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",6202
2019,59.11-1,59.11-1/99,"Atividades de producao cinematografica, de videos e de programas de televisao","Atividades de producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",7013
2010,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,39
2011,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,63
2012,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,65
2013,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,88
2014,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,67
2015,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,105
2016,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,115
2017,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,99
2018,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,108
2019,59.12-0,59.12-0/01,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de dublagem,142
2010,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,261
2011,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,267
2012,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,247
2013,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,252
2014,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,264
2015,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,277
2016,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,229
2017,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,201
2018,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,214
2019,59.12-0,59.12-0/02,"Atividades de pos-producao cinematografica, de videos e de programas de televisao",Servicos de mixagem sonora em producao audiovisual,179
2010,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1268
2011,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1308
2012,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1792
2013,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1461
2014,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1322
2015,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1263
2016,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1387
2017,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1355
2018,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",1096
2019,59.12-0,59.12-0/99,"Atividades de pos-producao cinematografica, de videos e de programas de televisao","Atividades de pos-producao cinematografica, de videos e de programas de televisao nao especificadas anteriormente",845
2010,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",1229
2011,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",1070
2012,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",1076
2013,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",935
2014,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",907
2015,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",867
2016,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",806
2017,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",830
2018,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",716
2019,59.13-8,59.13-8/00,"Distribuicao cinematografica, de video e de programas de televisao","Distribuicao cinematografica, de video e de programas de televisao",1362
2010,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,11247
2011,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,11687
2012,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,12949
2013,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14027
2014,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14466
2015,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14297
2016,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14754
2017,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14883
2018,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,14626
2019,59.14-6,59.14-6/00,Atividades de exibicao cinematografica,Atividades de exibicao cinematografica,15587
2010,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,48256
2011,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,51117
2012,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,51994
2013,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,51581
2014,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,53551
2015,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,51721
2016,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,49688
2017,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,50537
2018,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,47985
2019,60.21-7,60.21-7/00,Atividades de televisao aberta,Atividades de televisao aberta,50132
2010,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,3672
2011,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,4036
2012,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,3441
2013,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,2804
2014,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,2905
2015,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,3190
2016,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,3031
2017,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,2876
2018,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,2730
2019,60.22-5,60.22-5/01,Programadoras e atividades relacionadas a televisao por assinatura,Programadoras,1098
2010,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",1573
2011,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",935
2012,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",802
2013,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",1033
2014,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",581
2015,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",437
2016,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",459
2017,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",842
2018,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",542
2019,60.22-5,60.22-5/02,Programadoras e atividades relacionadas a televisao por assinatura,"Atividades relacionadas a televisao por assinatura, exceto programadoras",554
2010,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,15709
2011,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,17744
2012,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,16470
2013,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,16137
2014,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3210
2015,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,2986
2016,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3009
2017,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3342
2018,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3302
2019,61.41-8,61.41-8/00,Operadoras de televisao por assinatura por cabo,Operadoras de televisao por assinatura por cabo,3503
2010,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,862
2011,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,944
2012,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,676
2013,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,345
2014,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,186
2015,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,106
2016,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,37
2017,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,14
2018,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,12
2019,61.42-6,61.42-6/00,Operadoras de televisao por assinatura por micro-ondas,Operadoras de televisao por assinatura por micro-ondas,20
2010,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,1508
2011,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2419
2012,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2793
2013,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2595
2014,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2367
2015,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2140
2016,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,2036
2017,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,1340
2018,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,418
2019,61.43-4,61.43-4/00,Operadoras de televisao por assinatura por satelite,Operadoras de televisao por assinatura por satelite,372
2010,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",8228
2011,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",7292
2012,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",6524
2013,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",5543
2014,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",4866
2015,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",4192
2016,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",3407
2017,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",3017
2018,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",967
2019,77.22-5,77.22-5/00,"Aluguel de fitas de video, DVDs e similares","Aluguel de fitas de video, DVDs e similares",2347
2010,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",5300
2011,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",5046
2012,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4674
2013,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4373
2014,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4172
2015,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",3784
2016,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",3315
2017,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",2862
2018,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",2687
2019,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",1964
